LSOA code (2011),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Living Environment Score,Income Deprivation Affecting Children Index (IDACI) Score (rate),Children and Young People Sub-domain Score
E01017178,4.671,-0.198,0.008,37.660,0.051,-0.691
E01017179,43.291,0.481,0.886,23.532,0.250,1.118
E01017180,12.698,-0.177,-0.167,25.695,0.081,-0.162
E01017181,45.215,0.774,0.755,38.832,0.218,0.862
E01017182,41.617,1.499,0.931,23.076,0.111,0.455
E01017183,11.586,-0.053,0.115,14.811,0.055,-0.338
E01017184,35.778,0.638,0.685,28.227,0.139,0.368
E01017185,32.766,0.478,0.626,20.645,0.220,0.698
E01017186,43.400,0.915,1.336,22.091,0.205,1.034
E01017187,23.364,0.241,0.851,23.217,0.174,0.272
E01017188,52.180,1.236,1.454,29.326,0.290,1.062
E01017189,5.695,1.397,1.016,52.114,0.088,-1.433
E01017190,1.042,0.441,0.582,25.333,0.080,-1.227
E01017191,15.932,0.613,0.877,59.778,0.164,0.225
E01017192,16.323,0.496,0.994,45.117,0.110,0.112
E01017193,10.634,0.823,1.232,52.265,0.144,-0.684
E01017194,23.635,0.704,1.362,56.189,0.209,0.463
E01017195,37.172,0.820,0.695,49.801,0.206,1.291
E01017196,9.101,-0.272,0.369,21.066,0.081,0.049
E01017197,2.636,-0.309,1.014,33.142,0.050,-1.167
E01017198,30.366,0.733,0.477,25.280,0.217,0.505
E01017199,21.212,0.440,0.742,20.691,0.167,0.198
E01017200,13.567,-0.214,0.881,33.854,0.087,-0.029
E01017201,59.282,0.967,1.122,29.952,0.276,1.460
E01017202,45.216,1.198,1.008,29.753,0.354,0.929
E01017203,22.418,0.153,1.121,31.041,0.106,0.423
E01017204,13.026,0.450,0.538,23.120,0.085,-0.666
E01017205,62.561,1.014,1.269,19.663,0.409,1.492
E01017206,28.228,0.485,1.099,27.561,0.200,0.350
E01017207,77.167,1.236,1.621,33.168,0.436,1.817
E01017208,58.232,0.862,1.774,26.632,0.351,1.296
E01017209,14.203,0.120,1.175,46.415,0.109,-0.055
E01017210,69.956,1.324,2.009,21.650,0.366,1.315
E01017211,14.245,0.423,1.613,43.343,0.065,0.013
E01017212,19.479,0.000,0.531,27.557,0.203,0.349
E01017213,11.330,0.340,1.030,65.624,0.191,-0.086
E01017214,20.640,-0.315,0.642,31.741,0.080,-0.169
E01017215,10.335,-0.047,0.063,30.250,0.111,-0.610
E01017216,28.395,1.153,1.122,44.876,0.213,0.572
E01017217,18.015,1.151,0.271,33.170,0.179,0.071
E01017218,56.382,1.143,1.187,32.652,0.318,1.475
E01017219,32.920,1.275,1.311,31.992,0.248,0.726
E01017220,26.172,1.229,0.613,35.243,0.168,0.464
E01017221,15.347,0.348,0.601,46.268,0.130,-0.211
E01017222,11.136,0.636,1.492,40.000,0.086,-0.359
E01017223,7.334,-0.002,0.150,33.141,0.052,-0.524
E01017224,10.294,0.059,1.385,41.524,0.080,-0.118
E01017225,34.459,0.790,0.562,36.438,0.152,1.043
E01017226,1.535,-0.416,-0.319,22.350,0.083,-1.076
E01017227,12.269,1.524,1.131,52.169,0.104,-0.199
E01017228,30.133,0.391,1.478,35.545,0.198,0.867
E01017231,5.349,0.109,0.305,33.101,0.072,-0.619
E01017232,1.853,-0.223,-0.332,32.375,0.044,-0.936
E01017233,18.901,0.212,0.794,38.054,0.163,0.364
E01017234,17.742,0.575,0.976,32.702,0.198,-0.054
E01017235,8.244,1.004,1.329,33.467,0.070,-0.712
E01017236,62.401,1.085,1.644,25.415,0.347,1.265
E01017237,59.948,1.073,1.707,20.052,0.371,1.274
E01017238,56.474,0.999,1.057,25.114,0.313,1.283
E01017239,50.066,0.653,1.679,29.681,0.220,1.292
E01017240,64.411,1.330,1.265,31.126,0.309,1.326
E01017241,51.996,1.474,1.415,39.310,0.206,1.132
E01017242,28.924,0.503,1.771,28.233,0.180,0.570
E01017243,18.854,0.008,0.691,34.725,0.166,-0.008
E01017244,40.350,1.113,1.554,29.325,0.296,0.570
E01017245,65.624,1.084,1.697,21.274,0.453,1.186
E01017246,24.629,0.634,1.120,43.288,0.200,0.698
E01017247,5.488,-0.432,0.945,30.437,0.066,-0.780
E01017248,2.742,-0.491,-0.070,25.341,0.031,-1.129
E01017249,0.756,-0.411,0.978,29.089,0.029,-1.720
E01017250,34.170,1.638,2.066,46.856,0.368,0.622
E01017251,26.699,0.787,0.178,21.071,0.250,0.469
E01017252,1.651,-0.690,0.645,33.027,0.054,-1.198
E01017253,36.159,0.913,1.633,34.646,0.236,0.758
